YEAR,MONTH_NUM,MONTH_MON,ENTRY_DATE,ENTITY_NAME,ENTITY_TYPE,TYPE_MODEL,DIST_FLOWN_KM,DIST_DIRECT_KM,DIST_ACHIEVED_KM
2026,1,JAN,2026-01-01,Albania,State (FIR),CPF,104695,104218.83,102440.35
2026,1,JAN,2026-01-01,Albania,State (FIR),FTFM,106442,105786.61,102912.18000000001
2026,1,JAN,2026-01-01,Albania,State (FIR),SFR,97498,96972.18000000001,94307.84
2026,1,JAN,2026-01-01,Armenia,State (FIR),CPF,33288,32987.57,31100.21
2026,1,JAN,2026-01-01,Armenia,State (FIR),FTFM,32072,31808.54,29946.02
2026,1,JAN,2026-01-01,Armenia,State (FIR),SFR,30141,29793.57,28373.74
2026,1,JAN,2026-01-01,Austria,State (FIR),CPF,628672,627604,618464.4400000001
2026,1,JAN,2026-01-01,Austria,State (FIR),FTFM,630989,628671.56,615734.18
2026,1,JAN,2026-01-01,Austria,State (FIR),SFR,602973,601077.6900000001,589097.1900000001
2026,1,JAN,2026-01-01,BLUE MED FAB,FAB (FIR),CPF,3485253,3463425.08,3411914.89
2026,1,JAN,2026-01-01,BLUE MED FAB,FAB (FIR),FTFM,3489907,3445731.54,3381943.04
2026,1,JAN,2026-01-01,BLUE MED FAB,FAB (FIR),SFR,3407985,3367022.84,3307307.95
2026,1,JAN,2026-01-01,Baltic FAB,FAB (FIR),CPF,647308,641021.52,611916.28
2026,1,JAN,2026-01-01,Baltic FAB,FAB (FIR),FTFM,657154,644840.81,608812.5
2026,1,JAN,2026-01-01,Baltic FAB,FAB (FIR),SFR,635892,625141.33,592505.56
2026,1,JAN,2026-01-01,Belgium,State (FIR),CPF,388569,387382.21,379486.41000000003
2026,1,JAN,2026-01-01,Belgium,State (FIR),FTFM,422025,417221.26,402979.93
2026,1,JAN,2026-01-01,Belgium,State (FIR),SFR,412854,408582.76,395097.43
2026,1,JAN,2026-01-01,Bosnia and Herzegovina,State (FIR),CPF,281251,281050.14,278457.81
2026,1,JAN,2026-01-01,Bosnia and Herzegovina,State (FIR),FTFM,287608,287247.5,284076.92
2026,1,JAN,2026-01-01,Bosnia and Herzegovina,State (FIR),SFR,274615,274348.45,271359.9
2026,1,JAN,2026-01-01,Bulgaria,State (FIR),CPF,704335,702868.4500000001,684009.15
2026,1,JAN,2026-01-01,Bulgaria,State (FIR),FTFM,693949,691303.01,670619.72
2026,1,JAN,2026-01-01,Bulgaria,State (FIR),SFR,657404,654961.15,635780.86
2026,1,JAN,2026-01-01,Croatia,State (FIR),CPF,461443,461043.17,456196.43
2026,1,JAN,2026-01-01,Croatia,State (FIR),FTFM,459106,458401.01,452369.83
2026,1,JAN,2026-01-01,Croatia,State (FIR),SFR,438724,438239.26,432477.46
2026,1,JAN,2026-01-01,Cyprus,State (FIR),CPF,382918,380506.57,367828
2026,1,JAN,2026-01-01,Cyprus,State (FIR),FTFM,384858,379719.39,366481.49
2026,1,JAN,2026-01-01,Cyprus,State (FIR),SFR,367788,362955.33,350955.09
2026,1,JAN,2026-01-01,Czech Republic,State (FIR),CPF,327027,326404,320413.83
2026,1,JAN,2026-01-01,Czech Republic,State (FIR),FTFM,324643,322987.14,314325.4
2026,1,JAN,2026-01-01,Czech Republic,State (FIR),SFR,315269,313780.51,305535.74
2026,1,JAN,2026-01-01,DANUBE FAB,FAB (FIR),CPF,1574837,1570448.13,1526030.69
2026,1,JAN,2026-01-01,DANUBE FAB,FAB (FIR),FTFM,1554407,1548385.8,1500058.27
2026,1,JAN,2026-01-01,DANUBE FAB,FAB (FIR),SFR,1471983,1466447.1099999999,1420945.63
2026,1,JAN,2026-01-01,DK-SE FAB,FAB (FIR),CPF,682066,675549.16,667466.76
2026,1,JAN,2026-01-01,DK-SE FAB,FAB (FIR),FTFM,674029,669525.1,657625.78
2026,1,JAN,2026-01-01,DK-SE FAB,FAB (FIR),SFR,659011,654867.12,644422
2026,1,JAN,2026-01-01,Denmark,State (FIR),CPF,223248,222954.7,220944.44
2026,1,JAN,2026-01-01,Denmark,State (FIR),FTFM,225538,224371.76,220643.62
2026,1,JAN,2026-01-01,Denmark,State (FIR),SFR,217821,216735.47,213451.78
2026,1,JAN,2026-01-01,EUROCONTROL Area (PRR),Area (FIR),CPF,26942400,26372030.13,26230282.28
2026,1,JAN,2026-01-01,EUROCONTROL Area (PRR),Area (FIR),FTFM,27042478,26151552.12,25948502.46
2026,1,JAN,2026-01-01,EUROCONTROL Area (PRR),Area (FIR),SFR,26238363,25415713.83,25219201.74
2026,1,JAN,2026-01-01,Estonia,State (FIR),CPF,91300,90964.51,86334.34
2026,1,JAN,2026-01-01,Estonia,State (FIR),FTFM,88975,88703.97,83892.45
2026,1,JAN,2026-01-01,Estonia,State (FIR),SFR,82547,82314.86,77904.57
2026,1,JAN,2026-01-01,FAB CE,FAB (FIR),CPF,2520069,2510794.54,2477225.17
2026,1,JAN,2026-01-01,FAB CE,FAB (FIR),FTFM,2524535,2508668.8,2464766.26
2026,1,JAN,2026-01-01,FAB CE,FAB (FIR),SFR,2417997,2403594.44,2362778.83
2026,1,JAN,2026-01-01,FAB CE (SES RP1),FAB (FIR),CPF,1777782,1770668.79,1742961.19
2026,1,JAN,2026-01-01,FAB CE (SES RP1),FAB (FIR),FTFM,1777161,1764511.12,1727658.47
2026,1,JAN,2026-01-01,FAB CE (SES RP1),FAB (FIR),SFR,1702932,1691353.35,1657219.9
2026,1,JAN,2026-01-01,FAB CE (SES RP2),FAB (FIR),CPF,2239061,2230610.22,2199009.12
2026,1,JAN,2026-01-01,FAB CE (SES RP2),FAB (FIR),FTFM,2236102,2221435.32,2179872.28
2026,1,JAN,2026-01-01,FAB CE (SES RP2),FAB (FIR),SFR,2141831,2128459.16,2089875.7
2026,1,JAN,2026-01-01,FABEC,FAB (FIR),CPF,6906340,6828500.39,6737462.21
2026,1,JAN,2026-01-01,FABEC,FAB (FIR),FTFM,6972288,6783781.55,6663585.88
2026,1,JAN,2026-01-01,FABEC,FAB (FIR),SFR,6835630,6661328.58,6545851.3
2026,1,JAN,2026-01-01,Finland,State (FIR),CPF,120735,120531.47,117026.75
2026,1,JAN,2026-01-01,Finland,State (FIR),FTFM,120290,119841.36,116115.81
2026,1,JAN,2026-01-01,Finland,State (FIR),SFR,115967,115543.3,111876.24
2026,1,JAN,2026-01-01,France,State (FIR),CPF,3900250,3857797.11,3796244.43
2026,1,JAN,2026-01-01,France,State (FIR),FTFM,3915878,3809907.44,3731237.49
2026,1,JAN,2026-01-01,France,State (FIR),SFR,3836731,3738497.2800000003,3662377.46
2026,1,JAN,2026-01-01,Georgia,State (FIR),CPF,196196,195283.13,184940.86000000002
2026,1,JAN,2026-01-01,Georgia,State (FIR),FTFM,190235,189041.85,179885.48
2026,1,JAN,2026-01-01,Georgia,State (FIR),SFR,183319,182365.42,173916.57
2026,1,JAN,2026-01-01,Germany,State (FIR),CPF,1990716,1981262.3,1954092.12
2026,1,JAN,2026-01-01,Germany,State (FIR),FTFM,2001026,1964753.51,1924052.4300000002
2026,1,JAN,2026-01-01,Germany,State (FIR),SFR,1947771,1914859.15,1876587.9500000002
2026,1,JAN,2026-01-01,Greece,State (FIR),CPF,1110983,1108229.58,1096875.6
2026,1,JAN,2026-01-01,Greece,State (FIR),FTFM,1109380,1101950.73,1088114.35
2026,1,JAN,2026-01-01,Greece,State (FIR),SFR,1054363,1048470.53,1036162.54
2026,1,JAN,2026-01-01,Hungary,State (FIR),CPF,538530,537813.96,528761.96
2026,1,JAN,2026-01-01,Hungary,State (FIR),FTFM,538637,536466.4400000001,525374.4400000001
2026,1,JAN,2026-01-01,Hungary,State (FIR),SFR,511260,509263.47000000003,498900.32
2026,1,JAN,2026-01-01,Ireland,State (FIR),CPF,399086,398737.19,394313.07
2026,1,JAN,2026-01-01,Ireland,State (FIR),FTFM,359880,358873.69,353617.99
2026,1,JAN,2026-01-01,Ireland,State (FIR),SFR,314647,314102.08,309917.39
